order_id,customer_id,product_id,order_date,quantity,gross_revenue,discount_applied,shipping_cost
O115276,C01552,P10233,2024-09-23,1,214.29,0.0,8.01
O124296,C03424,P10268,2024-01-23,1,2154.19,0.0,6.88
O116138,C00701,P10234,2024-05-08,1,174.23,0.0,12.27
O128338,C04637,P10263,2024-11-17,1,297.56,0.0,7.29
O115632,C00527,P10019,2024-06-22,1,127.9,0.0,0.73
O103392,C03222,P10107,2024-11-11,1,205.7,0.0,5.18
O124347,C02874,P10240,2024-05-03,3,1307.88,0.0,10.84
O101441,C02745,P10318,2024-11-24,1,35.7,3.57,2.04
O142942,C04304,P10245,2024-04-09,2,410.27,0.0,10.04
O122558,C03370,P10154,2024-11-01,3,4317.03,215.85,7.77
O119183,C01836,P10008,2024-12-06,1,65.2,0.0,14.98
O128311,C02429,P10282,2024-11-23,1,26.23,0.0,4.22
O132794,C04040,P10250,2024-02-14,2,640.42,32.02,10.01
O129100,C02080,P10200,2024-05-01,1,24.69,0.0,0.67
O146301,C00871,P10146,2024-12-23,1,1487.34,0.0,2.11
O108483,C00377,P10088,2024-11-10,3,631.11,0.0,4.64
O112547,C00899,P10279,2024-04-20,1,47.27,0.0,0.74
O145907,C00070,P10046,2024-05-08,1,133.5,0.0,6.91
O101721,C02349,P10125,2024-02-29,1,143.08,0.0,8.33
O127475,C04129,P10200,2024-07-03,1,16.46,2.47,13.36
O129915,C03605,P10158,2024-04-06,2,1011.04,0.0,11.28
O100651,C02116,P10009,2024-08-28,3,258.81,0.0,11.54
O143111,C02343,P10205,2024-02-24,1,51.27,0.0,7.55
O123711,C02386,P10310,2024-10-05,3,79.2,0.0,6.98
O147199,C04792,P10319,2024-10-14,2,44.0,0.0,0.76
O119489,C00124,P10167,2024-10-26,1,118.57,11.85,6.79
O109936,C02050,P10271,2024-09-16,1,2177.64,108.88,14.51
O129216,C00179,P10157,2024-06-20,1,1510.92,0.0,0.94
O145403,C01610,P10293,2024-01-17,1,17.91,0.0,14.88
O105615,C04988,P10268,2024-07-18,2,12925.14,2585.02,11.52
O135470,C02756,P10178,2024-12-10,1,56.15,0.0,9.28
O113269,C01508,P10131,2024-07-12,1,75.93,0.0,3.17
O137564,C01819,P10226,2024-08-27,1,64.18,0.0,9.4
O144198,C03585,P10097,2024-04-30,1,162.48,16.24,8.31
O123622,C04048,P10045,2024-01-30,1,17.36,0.0,4.2
O139802,C01667,P10236,2024-11-20,1,57.84,2.9,13.86
O131605,C00737,P10115,2024-10-31,2,481.0,0.0,10.76
O112013,C02305,P10147,2024-11-29,1,174.3,0.0,7.53
O111189,C02805,P10067,2024-09-02,1,255.87,0.0,0.06
O143759,C02527,P10136,2024-10-29,1,248.38,12.42,14.63
O128796,C01188,P10116,2024-12-15,1,177.3,0.0,1.67
O146644,C04434,P10045,2024-02-02,1,32.99,0.0,5.64
O122273,C01131,P10188,2024-10-14,1,73.42,0.0,1.04
O109704,C02283,P10138,2024-12-05,2,458.87,45.88,13.7
O138597,C02386,P10073,2024-10-06,1,173.37,8.67,6.25
O105960,C04123,P10268,2024-12-24,1,6462.57,646.26,3.98
O124046,C03181,P10053,2024-06-18,1,124.06,0.0,0.16
O104960,C00217,P10111,2024-12-22,1,55.76,0.0,5.8
O140650,C01901,P10311,2024-12-08,1,27.26,0.0,12.33
O127401,C02898,P10148,2024-12-10,4,3718.96,0.0,13.31
O132970,C04512,P10063,2024-10-18,1,149.97,0.0,14.43
O122789,C03920,P10304,2024-12-17,1,34.18,0.0,7.42
O135524,C02045,P10101,2024-04-01,1,28.44,8.53,0.44
O124966,C03708,P10107,2024-12-17,1,324.8,0.0,10.5
O137780,C02533,P10200,2024-12-05,4,65.84,19.75,9.24
O100606,C02640,P10287,2024-10-05,1,52.84,7.93,9.97
O141299,C02060,P10176,2024-09-23,1,798.97,0.0,5.26
O112044,C02813,P10018,2024-05-09,1,65.26,0.0,13.76
O117791,C00614,P10277,2024-10-17,1,53.59,0.0,6.74
O131639,C02813,P10104,2024-12-07,1,11.47,0.0,8.7
O125556,C02023,P10184,2024-12-21,1,24.05,0.0,3.34
O105719,C02315,P10155,2024-11-06,1,540.79,54.08,1.5
O123697,C01985,P10058,2024-12-26,1,147.61,0.0,8.95
O116170,C00392,P10056,2024-10-14,1,159.98,0.0,6.15
O126042,C02531,P10198,2024-08-13,1,121.5,6.08,3.78
O121367,C01378,P10052,2024-07-13,1,247.12,12.36,11.4
O140712,C04673,P10199,2024-05-17,3,208.71,62.61,9.47
O126448,C02145,P10260,2024-09-25,1,413.22,41.32,2.93
O120849,C03049,P10005,2024-11-13,1,17.48,0.0,2.37
O134763,C01459,P10074,2024-07-01,1,23.49,0.0,5.44
O144516,C01552,P10101,2024-09-28,1,85.3,0.0,4.04
O120943,C01624,P10271,2024-12-29,3,6532.92,1306.59,4.32
O102943,C01614,P10196,2024-06-18,3,69.32,0.0,6.08
O145260,C04456,P10273,2024-12-27,2,1844.72,0.0,1.4
O131369,C02722,P10110,2024-06-04,1,200.71,60.21,3.58
O111333,C03536,P10003,2024-11-08,1,36.87,0.0,13.8
O118780,C01191,P10156,2024-05-24,1,82.18,12.33,4.05
O140150,C02881,P10041,2024-01-20,1,69.6,10.44,13.14
O124509,C04668,P10085,2024-11-15,1,206.49,0.0,1.34
O110286,C00469,P10098,2024-08-25,1,330.8,0.0,3.17
O118374,C00586,P10007,2024-05-17,3,135.0,0.0,13.31
O122542,C02699,P10054,2024-07-17,3,158.25,15.82,3.05
O115721,C03605,P10068,2024-05-09,3,301.8,0.0,8.28
O147871,C01783,P10068,2024-05-21,1,155.93,7.8,9.43
O131024,C01847,P10036,2024-11-05,2,31.82,0.0,13.57
O124493,C03419,P10000,2024-04-07,2,230.4,0.0,3.64
O140017,C00778,P10057,2024-10-15,3,340.6,0.0,2.59
O147598,C01842,P10077,2024-08-28,1,177.63,0.0,1.34
O111185,C01356,P10029,2024-07-18,1,33.69,6.74,8.7
O125925,C03101,P10042,2024-08-31,1,62.99,0.0,6.51
O142447,C04023,P10072,2024-12-09,1,62.0,0.0,3.1
O146141,C00085,P10276,2024-10-29,1,2938.77,0.0,3.5
O113797,C00215,P10133,2024-08-07,2,424.26,0.0,7.21
O123088,C01265,P10117,2024-11-17,2,206.52,0.0,13.88
O140516,C03892,P10009,2024-07-01,4,345.08,17.25,6.9
O133135,C04963,P10297,2024-02-29,1,81.94,16.4,3.46
O104970,C00283,P10193,2024-09-19,4,124.52,12.45,0.03
O115253,C03499,P10299,2024-04-14,4,72.0,14.4,3.22
O149021,C03806,P10014,2024-10-29,2,225.5,0.0,10.77
O103118,C04467,P10051,2024-05-16,1,63.53,0.0,11.31
O118879,C03867,P10121,2024-10-23,2,550.62,0.0,4.3
O145444,C02450,P10212,2024-12-03,1,12.72,1.91,4.31
O143232,C04213,P10194,2024-08-03,3,312.98,0.0,11.73
O105326,C01178,P10052,2024-10-19,1,164.75,0.0,8.52
O145152,C01343,P10197,2024-08-07,3,161.77,0.0,13.18
O110671,C05000,P10101,2024-08-18,1,85.3,4.26,8.07
O145402,C01510,P10223,2024-12-05,2,275.44,27.54,11.25
O127952,C04028,P10194,2024-10-01,1,104.32,0.0,3.68
O137510,C02834,P10208,2024-07-23,1,32.04,0.0,6.5
O135977,C02433,P10211,2024-09-16,1,23.22,0.0,11.27
O130605,C02903,P10281,2024-09-30,2,46.78,4.68,5.61
O123880,C00103,P10284,2024-10-20,1,55.02,2.75,10.5
O120001,C02678,P10289,2024-07-29,1,33.59,0.0,13.35
O126708,C00370,P10146,2024-03-22,2,1883.96,0.0,5.18
O139860,C04503,P10033,2024-10-04,1,36.34,0.0,3.78
O145413,C00380,P10282,2024-01-18,4,104.92,0.0,2.76
O124165,C03071,P10025,2024-06-29,2,349.96,35.0,5.08
O115378,C02127,P10170,2024-06-26,1,602.65,0.0,9.47
O143973,C00098,P10245,2024-11-27,2,669.38,0.0,8.59
O122656,C00952,P10044,2024-06-11,1,161.39,0.0,1.37
O116124,C04123,P10095,2024-04-23,1,55.5,0.0,2.2
O133278,C03926,P10188,2024-09-30,1,119.78,0.0,9.85
O126420,C01359,P10106,2024-11-24,1,189.12,0.0,5.83
O137551,C00990,P10005,2024-07-01,1,18.4,0.0,9.22
O104730,C03245,P10139,2024-05-04,3,640.71,0.0,11.88
O123943,C00916,P10111,2024-06-26,1,37.17,0.0,6.51
O128157,C03842,P10235,2024-05-07,1,25.23,0.0,14.47
O105637,C02223,P10137,2024-11-12,2,316.58,0.0,9.13
O139903,C01182,P10308,2024-07-13,1,11.18,0.0,6.32
O112834,C00164,P10279,2024-11-20,1,70.9,0.0,2.99
O141467,C00739,P10281,2024-07-15,1,15.09,2.26,5.37
O132860,C01599,P10019,2024-11-20,1,198.24,0.0,13.62
O144014,C00505,P10071,2024-06-17,1,97.05,0.0,2.79
O140538,C02316,P10237,2024-09-12,2,740.73,0.0,8.61
O135070,C01133,P10286,2024-11-27,1,44.36,0.0,1.74
O137710,C04356,P10143,2024-04-11,1,858.12,85.82,5.52
O112248,C02970,P10045,2024-01-18,1,34.73,5.21,5.98
O103945,C03849,P10157,2024-11-01,1,1007.28,0.0,9.12
O100516,C03435,P10159,2024-09-22,3,375.86,0.0,1.95
O143594,C04812,P10155,2024-05-21,1,811.18,0.0,11.32
O114470,C03515,P10068,2024-10-19,1,100.6,0.0,10.38
O112632,C02571,P10193,2024-03-27,2,96.5,9.66,11.21
O116076,C03382,P10043,2024-09-24,1,135.39,0.0,11.18
O121157,C04506,P10187,2024-07-10,1,13.84,0.0,6.79
O107062,C04617,P10255,2024-05-09,1,283.77,0.0,9.9
O104541,C01562,P10064,2024-10-01,1,15.34,3.07,4.27
O142891,C02386,P10117,2024-09-26,1,99.93,0.0,12.67
O138184,C04398,P10050,2024-10-12,1,30.29,6.06,6.32
O135043,C01376,P10055,2024-04-27,1,62.81,0.0,2.74
O104334,C02108,P10213,2024-09-03,2,84.0,12.6,7.24
O105295,C00385,P10044,2024-10-05,1,161.39,0.0,0.64
O103100,C02283,P10070,2024-09-23,1,165.11,0.0,8.59
O122082,C03226,P10256,2024-08-23,1,421.07,42.11,9.81
O128601,C02772,P10104,2024-11-26,1,17.21,0.0,8.8
O141049,C02672,P10190,2024-11-05,1,17.69,3.54,12.17
O146853,C04069,P10177,2024-11-28,2,215.84,10.79,2.97
O113890,C02485,P10153,2024-06-04,1,600.07,0.0,13.99
O149592,C02756,P10072,2024-12-05,1,62.0,3.1,8.62
O125180,C00405,P10121,2024-11-08,1,426.73,0.0,1.26
O125821,C00054,P10179,2024-07-17,3,3389.31,677.86,6.85
O145299,C00061,P10303,2024-11-04,2,37.46,0.0,9.74
O138978,C00494,P10063,2024-04-13,1,224.96,0.0,11.31
O128256,C04594,P10130,2024-12-22,1,178.93,0.0,14.68
O124488,C03169,P10244,2024-09-21,1,428.68,0.0,4.83
O126837,C04300,P10318,2024-04-30,3,101.74,0.0,13.6
O119260,C02532,P10053,2024-09-22,2,165.42,0.0,13.74
O116302,C00938,P10207,2024-05-11,3,179.43,26.91,13.31
O119337,C03419,P10320,2024-01-20,2,27.12,1.35,1.78
O117200,C02579,P10278,2024-08-21,2,29.94,0.0,14.07
O150170,C03509,P10051,2024-03-02,1,100.3,0.0,1.27
O145118,C01278,P10007,2024-09-27,2,135.0,40.5,12.44
O118974,C01517,P10290,2024-08-20,3,143.46,43.04,5.53
O118625,C02875,P10023,2024-07-11,2,132.86,19.93,1.8
O102211,C01818,P10139,2024-10-17,1,213.57,0.0,9.77
O114719,C02828,P10034,2024-05-10,2,81.9,0.0,2.89
O105070,C00259,P10285,2024-07-22,1,52.1,0.0,4.96
O107817,C01944,P10236,2024-07-31,3,115.68,0.0,12.99
O140738,C01247,P10232,2024-11-10,1,433.73,0.0,14.89
O138702,C02870,P10238,2024-11-26,3,155.19,0.0,5.22
O108362,C00778,P10000,2024-02-05,1,72.96,0.0,6.83
O137601,C02617,P10177,2024-08-12,1,167.28,16.72,9.19
O136974,C00541,P10295,2024-08-16,1,14.46,0.0,3.75
O111706,C02673,P10076,2024-06-14,1,38.91,7.78,13.8
O122107,C00942,P10162,2024-11-10,1,1720.46,344.08,0.44
O136903,C03987,P10146,2024-08-05,2,1983.12,0.0,6.31
O130721,C01993,P10140,2024-04-24,2,3212.28,642.45,7.89
O108948,C01121,P10262,2024-06-30,1,361.46,108.43,11.85
O135342,C02787,P10111,2024-07-27,1,37.17,5.58,14.61
O112583,C01711,P10319,2024-07-24,2,41.8,0.0,1.83
O124333,C03237,P10225,2024-08-07,1,68.14,0.0,10.78
O108741,C01037,P10138,2024-06-05,1,241.51,0.0,5.27
O142268,C00234,P10154,2024-08-21,1,1439.01,0.0,5.9
O127551,C04965,P10028,2024-10-02,2,59.2,0.0,12.84
O138209,C01217,P10116,2024-10-04,1,177.3,17.73,4.4
O117329,C00111,P10204,2024-06-04,2,156.26,0.0,13.88
O112721,C00469,P10138,2024-08-17,1,362.26,0.0,12.55
O125637,C03502,P10236,2024-04-04,1,38.56,0.0,7.28
O101517,C03935,P10241,2024-12-07,3,646.35,64.64,13.57
O114124,C04341,P10081,2024-09-11,1,193.72,0.0,11.27
O118885,C00543,P10212,2024-12-31,1,19.08,0.0,4.19
O130187,C00590,P10168,2024-08-20,1,618.1,0.0,10.56
O119379,C02760,P10024,2024-05-12,4,420.84,42.08,2.02
O141622,C04800,P10199,2024-08-04,1,107.83,0.0,6.4
O132826,C03022,P10182,2024-09-18,1,132.06,0.0,8.09
O131626,C01757,P10120,2024-08-31,1,282.73,0.0,9.69
O134846,C04792,P10167,2024-11-04,1,79.05,11.86,7.13
O142224,C00942,P10216,2024-11-10,1,88.04,0.0,2.26
O100806,C04213,P10080,2024-07-24,1,174.99,0.0,13.12
O143939,C04395,P10190,2024-11-16,2,33.61,0.0,3.95
O138335,C02803,P10084,2024-10-12,1,21.82,0.0,4.48
O107169,C04647,P10152,2024-05-05,1,526.9,0.0,3.35
O136458,C02472,P10267,2024-04-03,1,3937.34,0.0,8.36
O117468,C02240,P10080,2024-11-01,4,466.64,0.0,12.03
O146632,C00558,P10119,2024-09-11,4,1183.14,,9.66
O147898,C04798,P10183,2024-04-15,1,86.82,17.36,12.63
O117189,C04546,P10181,2024-08-27,1,45.58,0.0,7.23
O129023,C04310,P10316,2024-09-09,3,155.74,0.0,3.19
O119681,C00942,P10190,2024-12-23,1,26.54,0.0,1.02
O126676,C00217,P10274,2024-12-06,1,4190.13,0.0,11.23
O129025,C03719,P10142,2024-12-11,2,1408.96,211.34,11.06
O138170,C04650,P10234,2024-11-08,1,116.15,17.42,10.91
O145359,C04988,P10303,2024-12-27,1,28.1,0.0,13.45
O122917,C02009,P10105,2024-05-12,1,169.13,50.74,3.09
O120261,C01774,P10316,2024-12-14,1,51.92,0.0,7.3
O135336,C03972,P10251,2024-12-02,1,153.1,0.0,10.59
O138114,C03461,P10049,2024-07-25,4,115.14,11.52,6.35
O103047,C01232,P10238,2024-08-09,1,51.73,2.59,8.76
O113698,C04082,P10011,2024-08-16,1,60.04,0.0,7.11
O109364,C01679,P10164,2024-01-07,1,777.04,0.0,11.39
O138641,C04932,P10158,2024-07-12,1,480.24,96.04,7.31
O107453,C04096,P10186,2024-10-23,2,31.48,3.15,9.8
O129783,C00910,P10131,2024-05-16,1,50.62,0.0,1.08
O118899,C01883,P10034,2024-03-10,1,27.3,4.1,1.24
O111232,C04345,P10219,2024-04-02,1,32.96,0.0,10.17
O137583,C02456,P10049,2024-12-30,1,18.23,0.0,6.11
O136079,C03455,P10178,2024-10-19,1,84.22,8.43,11.06
O139534,C03445,P10018,2024-10-07,1,65.26,6.53,13.01
O145584,C01819,P10108,2024-07-04,1,156.56,0.0,8.94
O135811,C03265,P10264,2024-08-03,1,66.36,3.32,4.87
O117774,C03894,P10213,2024-09-30,2,132.63,13.26,9.99
O115661,C01000,P10169,2024-12-19,1,582.15,0.0,8.71
O103905,C04991,P10103,2024-05-23,2,118.29,11.84,4.85
O126461,C00449,P10076,2024-05-26,1,36.96,5.55,7.17
O149007,C02795,P10283,2024-09-20,1,26.98,0.0,8.71
O116225,C03461,P10130,2024-07-19,2,565.05,0.0,11.99
O128060,C04336,P10199,2024-04-08,2,139.14,0.0,3.39
O138570,C02356,P10172,2024-08-02,1,493.24,0.0,1.71
O150209,C04262,P10184,2024-05-17,1,36.08,0.0,2.09
O115463,C01291,P10243,2024-05-18,1,37.56,0.0,5.67
O134231,C02238,P10057,2024-07-07,2,358.53,0.0,12.04
O111751,C03309,P10320,2024-01-20,1,13.56,0.0,3.8
O130606,C04310,P10105,2024-06-30,1,253.7,12.69,9.23
O142859,C01067,P10218,2024-09-24,1,13.97,1.4,2.22
O105129,C02541,P10036,2024-07-01,1,15.11,0.0,12.68
O111180,C00636,P10315,2024-04-20,1,45.09,13.53,0.07
O128838,C03929,P10222,2024-04-10,1,111.98,0.0,9.04
O104632,C02530,P10157,2024-02-19,2,3021.84,604.36,1.66
O110116,C03466,P10044,2024-12-11,2,484.17,0.0,6.09
O120690,C00857,P10286,2024-06-27,4,114.48,5.72,10.86
O130784,C02177,P10028,2024-09-27,2,91.76,0.0,7.03
O126294,C00491,P10018,2024-10-17,1,97.89,14.68,12.44
O149395,C00768,P10129,2024-04-07,2,210.38,0.0,0.71
O139940,C02859,P10035,2024-10-29,1,220.75,0.0,13.97
O123110,C01338,P10221,2024-11-30,1,36.76,1.83,0.71
O111919,C01736,P10070,2024-10-29,1,260.7,0.0,13.84
O123758,C01167,P10026,2024-06-25,1,263.53,0.0,6.86
O101695,C03197,P10033,2024-02-18,1,57.38,0.0,8.19
O104771,C01121,P10220,2024-12-30,1,14.21,0.0,7.65
O113603,C01290,P10025,2024-06-17,3,524.94,0.0,2.42
O141659,C04511,P10020,2024-12-15,1,33.38,0.0,0.61
O112310,C02004,P10300,2024-10-06,4,67.12,6.71,0.2
O110570,C03156,P10014,2024-09-11,1,112.75,0.0,7.21
O129104,C01040,P10039,2024-04-04,1,74.15,14.83,13.27
O122271,C00650,P10202,2024-04-03,1,34.24,0.0,2.91
O143944,C00504,P10106,2024-10-07,1,199.07,0.0,5.55
O126441,C03141,P10105,2024-08-10,3,761.08,0.0,12.17
O115664,C01906,P10033,2024-02-12,3,114.75,0.0,14.56
O144709,C03263,P10013,2024-09-25,3,143.85,0.0,3.54
O147620,C00311,P10247,2024-01-12,2,416.84,0.0,6.97
O110878,C01766,P10083,2024-06-30,1,97.88,0.0,7.82
O148127,C02992,P10212,2024-04-21,1,19.08,0.0,6.28
O102837,C01936,P10054,2024-01-12,1,50.11,0.0,4.11
O111479,C01383,P10218,2024-12-05,2,43.31,2.17,9.38
O105809,C00494,P10012,2024-09-17,1,135.38,0.0,13.83
O128412,C01394,P10179,2024-11-20,1,1694.66,0.0,4.14
O145123,C00938,P10206,2024-05-10,1,85.95,8.6,5.11
O105148,C00286,P10143,2024-09-05,1,343.25,102.97,0.12
O104351,C02325,P10081,2024-12-19,1,193.72,19.37,7.16
O108547,C04789,P10290,2024-06-07,3,95.64,0.0,8.98
O107271,C03486,P10241,2024-09-19,1,204.68,0.0,1.01
O147272,C00942,P10038,2024-11-09,1,213.39,0.0,1.62
O116531,C02201,P10126,2024-09-29,1,256.83,0.0,11.89
O145782,C00470,P10272,2024-06-28,1,4865.08,0.0,13.16
O115181,C04690,P10136,2024-03-07,2,522.9,0.0,3.5
O142153,C02749,P10320,2024-11-22,1,13.56,0.0,8.74
O115170,C02152,P10064,2024-10-22,4,64.6,0.0,6.57
O130661,C00346,P10153,2024-12-09,1,631.65,31.58,0.45
O122176,C00426,P10259,2024-12-08,1,666.8,0.0,13.23
O115596,C03894,P10035,2024-06-03,1,213.63,0.0,0.13
O143799,C01825,P10064,2024-01-06,1,24.22,3.63,5.62
O111826,C00162,P10116,2024-04-18,1,177.3,53.19,11.56
O114202,C04988,P10070,2024-01-05,1,260.7,0.0,4.84
O102418,C02094,P10074,2024-03-24,3,35.24,0.0,5.27
O123837,C01736,P10312,2024-04-22,2,120.45,0.0,1.15
O136435,C03321,P10245,2024-11-22,1,215.93,10.8,10.58
O120326,C04364,P10275,2024-10-01,2,8657.52,0.0,2.4
O144190,C01374,P10163,2024-10-01,1,1014.56,0.0,9.48
O110172,C04944,P10310,2024-09-02,1,17.6,0.0,12.22
O127909,C03683,P10092,2024-06-15,1,127.2,0.0,8.12
O132739,C02458,P10154,2024-06-29,3,2878.02,0.0,12.17
